name,from,href,lyrics
Bachche Ki Jaan,"[from ""102 Not Out"" soundtrack]",/lyrics/arijitsingh/bachchekijaan.html,"

Kaisi ye halchal
Kaisa bhoochaal hai
Saansein phooli hain aur
Yeh dil behaal hai

Dhadkan ruk jaaye na yeh
Darr lagta hai mujhe
Phansta hi jaata hoon
Yeh aisa jaal hai

Aankhon pe patti bandh ke
Mere sar pe nishana loge kya

Bachche ki jaan loge kya
Ow bache ki jaan loge kya
O o ow bache ki jaan loge kya
Bache ki jaan loge kya

Udta hi jaa rahaa ye
Chehre ka rang hai
Badhti betaabiyan aur
Maamla tang hai

Bachna mumkin nahi sab
Koshish bekaar hai

Aisa kyun lag raha hai
Jaise koi jung hai
Pairon se chhin lee zameen
Ab uspe lagaan loge kya

Bachche ki jaan loge kya
Ow bachche ki jaan loge kya
O o ow bachche ki jaan loge kya
Bachche ki jaan loge kya

Dil ki banzar zameen pe phool kaise khile
Sehra mein baarishon ki boond kaise mile

Ehsaason ki kabhi nahi hoti hai umar
Iss baat se bhi tum bhala kyun ho bekhabar
Haan main nadaan hoon na mujhko kuch khabar
Phir mujhpe manmaani karte ho kyu magar
Mujhpe talwar taan ke mera imtehaan loge kya

Bachche ki jaan loge kya
Ow o o bachche ki jaan loge kya
Aye ee ee bachche ki jaan loge kya
Bachche ki jaan loge kya

La la la…

Yaadon ki titliyan jo itni sambhali hai
Yeh jo ud jaaye toh dil poora khaali hai
Naye pal ko khul ke aaj tu jee le toh zara
Kabhi yun bewajah bhi tu khulke muskura haa

Sookha sookha sa hoon
Na hoon shauqeen main
Thoda sa sangeen bhi hoon
Na hoon rangeen main
Meri neendein uda ke
Khud chain ki saansein loge kya

Bachche ki jaan loge kya
O o bachche ki jaan loge kya
Oooh bachche ki jaan loge kya
Bachche ki jaan loge kya

Loge kya?
"
Bairaagi,"[from ""Bareilly Ki Barfi"" soundtrack]",/lyrics/arijitsingh/bairaagi.html,"

Duniya ke dastoor se
Door hai tu
Mere naino ka saara
Noor hai tu
Meri saans ke har mod pe
Sapno ke chhor pe
Dekh sirf tere hain nishaan…

Aye bairaagi teri laagi laagi re
Aye bairaagi teri laagi laagi re

Hai udte panchi ki chhaanv tu
Beparwah behti si naav tu
Kaise apnaaye tu ek ghar
Hai banjaro ka gaanv tu

Chhode tune hai jo nishaan
Unki raahon pe main chala
Kya pata milega tu kahaan

Aye bairaagi teri laagi laagi re
Aye bairaagi teri laagi laagi re
Laagi re, laagi laagi re
Laagi re, laagi re…
Laagi laagi re…

Tu bhor ka neela taara
Teri rooh phire aawara
Tu tairta tinka oonchi lehron pe

Teri saans mein jamke kansa
Tu paani tu hi pyaasa
Tu muskaata hai dil ke pehro pe

Aye bairaagi teri laagi laagi re
Laagi re, laagi re, laagi re
Aye bairaagi teri laagi laagi re..

Tu bhor ka neela taara
Teri rooh phire aawara
Tu tairta tinka unchi lehro pe

Teri saans mein jamke kansa
Tu paani tu hi pyaasa
Tu muskata hai dil ke pehro pe

Laagi laagi re…
"
Bandeya,"[from ""Dil Juunglee"" soundtrack]",/lyrics/arijitsingh/bandeya.html,"

Chal, chal ve tu bandeya uss galiye
Jahaan koi kisi ko na jaane

Chal, chal ve tu bandeya uss galiye
Jahaan koi kisi ko na jaane
Kya rehna wahaan par sun bandeya
Jahaan apne hi na pehchaane

Reh gaye hain jo tujhme
Mere lamhe lauta de
Meri aankhon mein aake
Mujhe thoda rula de…

Chal, chal ve tu bandeya uss galiye
Jahaan koi kisi ko na jaane, hmm…

Khwab jo huey hain khandar
Khwab hi nahi thhe
Ik neend thi neem si… haaye
Kho diya hai tune jisko
Tera hi nahi tha
Ik haar thi jeet si…

Kitna rulayega ye toh bata
Rabba ve tujhe hai tere rab da waasta

Chal, chal ve tu bandeya uss galiye
Jahaan koi kisi ko na jaane
Kya rehna wahaan par sun bandeya
Jahaan apne hi na pehchaane…

Hmm…
"
Bas Tu Hai,"[from ""3 Storeys"" soundtrack]",/lyrics/arijitsingh/bastuhai.html,"

Tum jo ek pal ko mud jaate
Kya pata raste jud jaate
Saare sapne yunhi dhul gaye
Soch ke tumko naina rul gaye

Thodi baatein thode sikve
Thodi guftagu.. hai…

Ab bas main hu meri yaadein
Aur ye justju.. hai…

Bas tu hai
Haan tu hai
Aur siyahi si tanhai
Bas tu hai [x2]

Lambi raatein
Kore din hai
Hum toh aadhe… tere bin hai
Haan sooni aakhein
Ab bhi taake
Tu kahaan hai…

Bas tu hai, tu hai
Aur siyahhi si tanhai
Bas tu hai
Bas tu hai…
"
Beech Beech Mein,"[from ""Jab Harry Met Sejal"" soundtrack]",/lyrics/arijitsingh/beechbeechmein.html,"

(Beech beech mein…)

Afsana tera mera chatkhaare waala
Beech beech mein
Sur lag jaata hai mera tumhare waala
Beech beech mein [x2]

Shola shola saansein bhaari bhaari
Aaja aa jalenge baari baari
Badlega phir yeh status
Kanwaare waala beech beech mein

(Beech beech mein…)

Afsana tera mera chatkhaare wala
Beech beech mein

(Beech beech mein…)

Hai safar mein zameen
Chal raha aasmaan
Dono ki jo kahaani
Hoke naa ho bayaan

O begaani jagah pe nadaani
Karein na karein toh kahaan
Jaldi mein ye pal dheeme
Kyun hain chalte yahaan

Main tujhe dekhun
Baaki aadhe mein hai kya chalaki

Dikhla de gussa woh bhi
Karaare wala beech beech mein

Beech mein armaan aise jaage
Nishaane nazar ne daage
Kahe dil ki badh ja aage

Kabhi door door
Kabhi paas paas
Kabhi door paas
Ke beech beech mein

(Beech beech mein…)

Kabhi door paas
Kabhi paas door
Kabhi saans saans ke
Beech beech mein

(Beech beech mein…)

Shola shola saansein bhaari bhaari
Aaja na jalenge baari baari
Badlega phir yeh status
Kanware waala beech beech mein

(Beech beech mein…)

Afsana tera mera chatkhaare wala
Beech beech mein..
"
Bhalobasa Jaak,"[from ""Cockpit"" soundtrack]",/lyrics/arijitsingh/bhalobasajaak.html,"

[?]
Kichu-ta chowa chui
Chute jete jete jete pore jabe dhora
Khela-ta akasher
Khela ta megheder
Kichu ta brishtir motoi
Vije jete jete jete bhalobashe jara

Khoje raat khuje mon sharadin
Koto aar bojhabo nijeke

Cholo bosha jaak
Bhalobasa jaak
Jeno aar kicchu pari na
Cholo bhasa jaak
Bhalobasha jaak
Jeno aar kauke chini na
Kauke chini na
Kauke chini na...

Tomake joto ta beshechi bhalo
Peyechi taaro beshi bhoy
Tomake diyechi jaa chilo amar
Tomake diyechi shomoy
Tumi sesh kotha amar
Tumi shurur raat o bhor
Ami morubhumi aar tumi moruddyan

Cholo bosha jaak
Valobasa jaak
Jeno aar kicchu pari na
Cholo bhasa jaak
Valobasha jaak
Jeno aar kauke chini na
Kauke chini na
Kauke chini na

Nijer srotey ami bheshe gechi
Amake ke aar paay
Nijeke jeno peye boshe gechi
Tomar haater rekhay

Ojuhaat khuje mon sharadin
Koto aar bojhabo nijeke

Cholo bosha jaak
Bhalobasa jak
Jeno aar kicchu pari na
Cholo bhasa jaak
Bhalobasha jak
Jeno aar kauke chini na
Kauke chini na
Kauke chini na...
"
Binte Dil,"[from ""Padmaavat"" soundtrack]",/lyrics/arijitsingh/bintedil.html,"

Binte dil misiriya mein [x4]

Pesh hai kullu-shabab
Khidmat-e-aali janaab
Aatish qadah adaaon se
Aatish qadah adaaon se
Jal uthega aapke
Deeda-e-tar ka hijaab

Binte dil misiriya mein
Binte dil misiriya mein…

Maykash labon pe aane lagi hai
Pyasi qurbatein
Hairatzada thikane lagi hain
Saari furqatein [x2]

Kaarizon pe mere likh zara
Rifwatein chahaton ka sila…

Binte dil misiriya mein
Binte dil misiriya mein

Pesh hai kullu-shabab
Khidmat-e-aali janaab
Pesh hai kullu-shabab
Khidmat-e-aali janaab
Aatish qadah adaaon se
Aatish qadah adaaon se
Jal uthega aapke
Deeda-e-tar ka hijaab

Binte dil misiriya mein
Binte dil misiriya mein…
"
Bolna,"[from ""Kapoor & Sons"" soundtrack]",/lyrics/arijitsingh/bolna.html,"

Chhuteya na chhute mose
Rang tera dholna
Ik tere baajo dooja
Mera koi mol na
Bolna mahi bolna
Bolna mahi bolna

Tere liye aaya main toh
Tere sang jaana
Dholna ve tere naal
Jindri bitavaan

Kadi naiyo chhodna
Ishq di dor na
Saare chhad jaayen maahi
Tu na chhodna
Bolna mahi bolna
Bolna mahi bolna

Tere sang hasna main
Tere sang rona
Tujhme hi rehna main
Tujhme hi khona

Dil mein chhupa ke tujhe
Dil naiyo kholna
Marke bhi maahi tosey
Munh na modna
Bolna mahi bolna
Bolna mahi bolna

Chhuteya na chhoote mose
Rang tera dholna
Ik tere baajo dooja
Mera koi mol na
Bolna maahi bol na (bol na)
Bolna maahi bol na (mahi bol na)
"
Chalte Chalte,"[from ""Tutak Tutak Tutiya"" soundtrack]",/lyrics/arijitsingh/chaltechalte.html,"

Rangeen roohon ke do dhaage
Dekho saaye bun rahe hain
Saare lamhe dilkashi ke
Hum dono ko chun rahe hain

Deewane ki tu banja na ab deewani
Hone de zara deewangi [x2]

Chal na chalte chalte pahunche ishq pe
Aaja dono milke aaye ishq se [x2]

Rangeen roohon ke do dhaage
Dekho saaye bun rahe hain

Maanga tha jaane kabse
Paaya tujho ab jaake
Ab jaake jeene hum lage

Iss dil ko dekho aake
Pagal hai tujhko paake
Jaan bhi de de toh kam hai

Deewane ki tu banja na ab deewani
Hone de zara deewangi

Chal na chalte chalte pahunche ishq pe
Aaja dono milke aaye ishq se [x2]

Rangeen roohon ke do dhaage
Dekho saaye bun rahe hain

Aaye yahan jab jab hum
Humdum tum hi ho hardam
Itna Khuda se maang le

Itni nazdeeki chahun
Kahin phir nazar na aaun
Tujhme kuch aise tham le

Deewane ki tu banja na ab deewani
Hone de zara deewangi

Chal na chalte chalte pahunche ishq pe
Aaja dono milke aaye ishq se [x2]

Rangeen roohon ke do dhaage
Dekho saaye bun rahe hain
"
Channa Mereya,"[from ""Ae Dil Hai Mushkil"" soundtrack]",/lyrics/arijitsingh/channamereya.html,"

Accha chalta hoon
Duaaon mein yaad rakhna
Mere zikr ka zubaan pe swaad rakhna
[x2]

Dil ke sandookon mein
Mere acche kaam rakhna
Chitthi taaron mein bhi
Mera tu salaam rakhna

Andhera tera maine le liya
Mera ujla sitaara tere naam kiya

Channa mereya mereya
Channa mereya mereya
Channa mereya mereya Beliya
O piya…
[x2]

Mmm… mehfil mein teri
Hum naa rahe jo
Gham toh nahi hai
Gham toh nahi hai
Qisse humaare nazdeeqiyon ke
Kam toh nahi hai
Kam toh nahi hai

Kitni dafaa, subah ko meri
Tere aangan me baithe
Maine shaam kiya

Channa mereya mereya
Channa mereya mereya
Channa mereya mereya Beliya
O piya…
[x2]

Tere rukh se apna raasta
Mod ke chalaa
Chandan hoon main
Apni khushboo chhod ke chala

Mann ki maaya rakh ke
Tere takiye tale
Bairagi, bairagi ka sooti chaula
Odh ke chalaa

Channa mereya mereya
Channa mereya mereya
Channa mereya mereya Beliya
O piya…
"
